段階	検証ID	検証内容	初期設定（前提データ）	操作・前提条件	使用する検証データ	期待値	スクショファイル名	スクショ（撮るもの）	スクショ貼付欄	画面	確認ポイント	ヘルプページ該当箇所	対応受入条件	実際の値	判定	所見・気づき	実施日	実施者	備考	計算根拠
実績	T-A07	実績のCSVエクスポート	S-05	月別（実績モード）と日別でそれぞれCSVエクスポートし、Excelで開く	（投入済み）05 月次給与実績・06 日次給与実績	"【確認場所：給与実績一覧】
出力した行数＝画面に表示されていた行数（差0件）。列も画面と一致（月別・実績モードなら実績列を含む／日別なら日別の列）。Excelで開いて文字化け=0件"	T-A07.png	出力したCSVをExcelで開いた画面（月別・日別の2枚）		給与実績一覧 … 月別実績（実績モード）と日別実績で、それぞれ右上のCSVエクスポート	表示中の内容が出力されるか	操作手順 ＞ データを出力する	AC-36						全件出力になっていないこと	入出力：画面の内容と一致
実績	T-A08	勤怠実績の取込	S-05 S-08	給与実績一覧の右上「実績データ取込」を押す。取込中モーダルが出ている間に締めボタンなど他の操作を試す	（投入済み）05 月次給与実績・06 日次給与実績	"【確認場所：給与実績一覧 → 月別実績タブ】
「実績データ取込中」のモーダルが出て進捗が表示される（0%→100%）。処理中は他の操作を受け付けない。完了後、実績モードの列に金額が入る（未反映=0件）"	T-A08.png	取込中モーダル（進捗%が出ている瞬間）と、完了後に金額が入った実績モード		給与実績一覧 → 月別実績タブ … 右上「実績データ取込」→ 取込中モーダル（進捗%・閉じられない）	進捗が出て他操作を受け付けないか	操作手順 ＞ 毎月の人件費を確定する	AC-48						★この取込を行うまで実績の数字は出ない。締め（T-S03）はこの後に実施する	入出力：勤怠実績を取り込める
締め	T-S01	締めボタンの表示条件	S-08	月別実績タブと日別実績タブを順に開く	（追加のデータ投入なし）	"【確認場所：給与実績一覧】
月別のみ「2026-05 締め」が表示。日別には表示されない"	T-S01.png	月別実績タブ（締めボタンあり）と日別実績タブ（締めボタンなし）の2枚		給与実績一覧 … 月別実績タブ（締めボタンあり）と日別実績タブ（締めボタンなし）	締めが月別タブにだけ出るか	操作手順 ＞ 毎月の人件費を確定する	AC-18						締めの単位が「月」であることの明示	原則②：締めの単位は月
締め	T-S03	締めの実行	S-06 S-08	年月＝2026-05を選び「2026-05 締め」→ 確認モーダル「月別実績締め処理の確認」の内容を確認 → 「締めを実行」	（追加のデータ投入なし）	"【確認場所：給与実績一覧　→　月別実績タブ】
「締めます。締め後はデータの編集ができなくなります。よろしいですか？」の確認が1回出る。実行でボタンが「2026-05 締め」→「2026-05 締め解除」に変わる（表記の切替=1箇所）"	T-S03.png	確認モーダル「月別実績締め処理の確認」の全文／締め実行後にボタンが「締め解除」に変わった状態		給与実績一覧 → 月別実績タブ → 年月2026-05 → 右上「2026-05 締め」→ 確認モーダル「月別実績締め処理の確認」	確認モーダルを経て締まるか	操作手順 ＞ 毎月の人件費を確定する	AC-16 AC-19 AC-32						設定未入力のEMP-015がいる状態で事前警告が出るかを所見に記録（AC-32・次段階）	原則②：締めたら動かない／原則②：確定操作は確認を経る／原則②：締め前の事前チェック
締め	T-S04	締め後は編集できない	T-S03実施済み	2026-05の実績を編集／勤怠を再取込しようとする	（追加のデータ投入なし）	"【確認場所：給与実績一覧（締め済み2026-05）／従業員詳細での過去日編集／実績】
編集できない（または反映されない）"	T-S04.png	締め後に編集・再取込を試みたときの表示と、金額が変わっていない実績画面		給与実績一覧（締め済み2026-05）／従業員詳細での過去日編集／実績データ取込の再実行	締め後に金額が動かないか	よくあるご質問 ＞ 数字・締めについて	AC-16						金額の不変は C-008 で数値検証	原則②：締めたら動かない
締め	T-D07	締め済み期間への遡及	T-S03実施済み S-07	EMP-001に適用日付＝2026-05-10で保存を試行	（追加のデータ投入なし）	"【確認場所：従業員詳細】
締め済み期間のため反映されない旨の警告が出る（黙って保存されない）"	T-D07.png	締め済み期間の適用日付で保存したときの警告表示（メッセージ全文が読めること）		従業員詳細 … 適用日付＝2026-05-10（締め済み期間内）で「保存」→ 警告表示	警告が出て反映されないか	ケース別 ＞ 締めたあとに給与改定が決まったとき	AC-20						既定は将来適用。モック未実装のため実装確認が必要	原則②：遡及は黙って捨てない
締め	T-S05	締めの解除	T-S03実施済み	「2026-05 締め解除」→ 確認モーダル「月別実績締め解除の確認」→「締め解除を実行」	（追加のデータ投入なし）	"【確認場所：給与実績一覧　→　月別実績タブ】
「締めを解除します。解除後はデータの編集が可能になります。よろしいですか？」の確認が1回出る。実行で編集可に戻る（ボタンが「2026-05 締め」に戻る）"	T-S05.png	確認モーダル「月別実績締め解除の確認」／解除後に再計算された金額		給与実績一覧 → 月別実績タブ → 右上「2026-05 締め解除」→ 確認モーダル「月別実績締め解除の確認」	解除で再計算されるか	よくあるご質問 ＞ 数字・締めについて	AC-19						ここでは操作と表示のみ確認する。解除後の金額の再計算は C-008（b）で判定する	原則②：確定操作は確認を経る
締め	T-S07	締めの実行権限	S-10 S-08	店長スコープのアカウントでログインし、給与実績一覧を開いて締めを試みる	（追加のデータ投入なし）	"【確認場所：給与実績一覧 → 月別実績タブ（店長スコープでログイン）】
締めボタンが表示されない、または実行できない（会社スコープのみ実行可）"	T-S07.png	店長スコープでの給与実績一覧（締めボタンが無いこと）。APIを直接呼んだ場合の応答も残す		給与実績一覧 → 月別実績タブ（店長スコープでログイン）… 締めボタンの表示有無とAPI拒否	店長が締められないか	よくあるご質問 ＞ どなたが操作できますか	AC-41						店長が自店だけ締められると月次が分断される。権限設定のリリース範囲に依存	原則②：締めは会社スコープのみ
取込	T-I02	テンプレートのDLと画面	S-01	設定インポートを開き、「従業員設定CSVテンプレート」「給与設定CSVテンプレート」をDLしてExcelで開く	（追加のデータ投入なし）	"【確認場所：設定インポート】
従業員設定＝6列（従業員コード/氏名/雇用区分/所属店舗/ヘルプ先店舗/適用日付）、給与設定＝9列（従業員コード/給与単位/単位給与額/交通費単位/単位交通費/ヘルプ先交通費/所定労働時間/みなし残業時間/適用日付）。文字化け0箇所"	T-I02.png	ダウンロードしたテンプレートをExcelで開いた画面（列名と文字化けが無いこと）		設定インポート … 右上「従業員設定CSVテンプレート」「給与設定CSVテンプレート」のダウンロード	テンプレートの列とBOM	操作手順 ＞ はじめて設定する	AC-21 AC-30						列が登録フォーム（T-R02の13項目）と対応していること。BOM付きUTF-8	入出力：導入を止めない／画面：操作が最後まで通る
取込	T-I03	King of Time形式の取込	S-04 S-06	データ種類＝King of Time を選び data/07（従業員設定・3行／外部ID 1001・1005・1013）をD&D → 登録。続けて data/10（給与設定・3行）を取り込む	07 取込CSV KingOfTime／10 取込CSV 給与設定	"【確認場所：設定インポート → 従業員一覧】
外部ID 1001・1005 は対応表で E0001・E0005 に解決され、既存の従業員が更新される（単位給与額 340,000／360,000）。対応表に無い 1013 は新規として扱われ、従業員IDが自動で付番される。件数は3行"	T-I03.png	取込後の従業員一覧（EMP-001=340,000・EMP-005=360,000・EMP-013が追加されていること）		設定インポート … データ種類＝King of Time → ファイルのドラッグ領域 → 取り込み列設定 → 下部「登録」→ 従業員一覧	3行が更新・追加されるか	操作手順 ＞ はじめて設定する	AC-21						既存は更新・新規は追加という挙動になること（重複追加でないこと）。従業員設定と給与設定が別テンプレートで運用できること	入出力：導入を止めない
取込	T-I04	ジョブカン形式（表記ゆれ）の取込	S-04 S-06	データ種類＝ジョブカン を選び data/08（3行／外部ID JB-003・JB-010・JB-014）をD&D → 登録	08 取込CSV ジョブカン	"【確認場所：設定インポート → 従業員一覧】
スタッフコード等の表記ゆれを吸収し、外部ID JB-003・JB-010 が E0003・E0010 に解決される。取込成功=3行"	T-I04.png	ジョブカン形式の取込結果（スタッフコード等が正しく対応づいたこと）		設定インポート … データ種類＝ジョブカン（スタッフコード等の表記ゆれ）→「登録」→ 従業員一覧	表記ゆれを吸収できるか	操作手順 ＞ はじめて設定する	AC-22						スタッフコード/スタッフ名/雇用形態 の表記ゆれが吸収されること	入出力：表記ゆれを吸収
取込	T-I05	異常系データの検出	S-04 S-06	data/09（4行）をD&D → 登録	09 取込CSV 異常系	"【確認場所：設定インポート】
4行すべてがエラーとして検出され登録されない（見逃し0）。EMP-001の給与額が負値にならず、店舗S99が自動作成されない"	T-I05.png	エラー表示の全体（4行それぞれの理由が読めること）		設定インポート … data/09 取込時のエラー表示（行ごとの理由）	4種の異常を行ごとに検出するか	よくあるご質問 ＞ CSVの取り込みでエラーになります	AC-23						行単位エラーか全体拒否かを記録し、仕様として確定する	データ保全：不正値を入れない
取込	T-I17	二重登録の防止	S-04 S-06	（a）data/07を2回続けて取り込む （b）data/19（外部ID 1002 が2行・単位給与額が異なる）を取り込む	07 取込CSV KingOfTime／19 取込CSV 重複コード	"【確認場所：設定インポート】
（a）2回目は更新となり件数が増えない（二重登録=0件）（b）同じ外部IDが2行あるためエラーとして検出され、両方とも登録されない。1つの外部IDが2つの従業員IDに紐づく=0件"	T-I17.png	2回目の取込結果（件数が増えていないこと）／重複ファイルのエラー表示		設定インポート … 同一ファイルの2回取込／重複コードを含むファイルのエラー表示	二重登録されないか	よくあるご質問 ＞ CSVの取り込みでエラーになります	AC-40 AC-56						二重登録されると人件費が二重計上され、店舗別合計＝全社（AC-11）が壊れる	データ保全：二重登録を防ぐ
取込	T-I20	外部IDの対応と付番	S-04 S-06	（a）data/20 の対応表を開き、EMP-001 が King of Time 1001 とジョブカン JB-001 の2件を持つことを確認 →（b）対応表に無い外部ID（例 9999）を含むCSVを取り込む →（c）取り込んだ従業員の従業員IDを従業員一覧で確認する	20 外部ID対応表／07 取込CSV KingOfTime	"【確認場所：列マッピングテンプレート（外部ID対応）→ 設定インポート → 従業員一覧】
（a）1名が複数の勤怠システムの外部IDを持てる（E0001＝1001／JB-001）（b）対応表に無い外部IDは取り込まれず、件数と理由が表示される（黙って登録=0件）（c）すべての従業員に従業員IDが付いている（未付番=0件）"	T-I20.png	外部ID対応表（EMP-001が2システム分ある状態）／対応表に無い外部IDのエラー表示／従業員一覧の従業員ID列		列マッピングテンプレート（外部IDの対応）→ 設定インポート → 従業員一覧	外部IDが従業員IDに解決されるか／未登録は弾かれるか	ケース別 ＞ CSVの列名がラクミーと違うとき	AC-55 AC-56						2026-08-13 判断15で新設。勤怠システムのコードとラクミーの従業員IDの対応を確認する	データ保全：従業員の同一性を保つ／入出力：ID体系の違いを吸収
取込	T-I18	取込が途中で失敗したときの扱い	S-04 S-06	data/09（4行中すべてが異常）を取り込み、取込後の従業員一覧と設定履歴を確認する	09 取込CSV 異常系	"【確認場所：設定インポート（全行エラー）→ 従業員一覧と設定変更履歴一覧（部分登録】
中途半端な状態が残らないこと。(a)全体拒否なら 登録=0件・履歴の追加=0件。(b)行単位なら 正常行のみ登録され、異常行はエラーとして件数と理由が表示される。いずれの実装でも「登録されたのに履歴が無い行」=0件"	T-I18.png	取込後の従業員一覧と設定変更履歴（1件も登録されていないこと）		設定インポート（全行エラー）→ 従業員一覧と設定変更履歴一覧（部分登録されていないこと）	部分登録が残らないか	よくあるご質問 ＞ CSVの取り込みでエラーになります	AC-42						T-I05は「エラーが検出されること」、本ケースは「登録の結果が説明できる状態であること」を見る	データ保全：中途半端に残さない
取込	T-I11	CSV位置合わせ設定	S-06	data/11（先頭に説明行2行）をD&D → 位置合わせ設定でヘッダー行＝3／データ開始行＝4／開始列＝1を指定 → 登録	11 取込CSV 説明行あり	"【確認場所：設定インポート】
余計な行が無視され、3行が正しく取り込まれる"	T-I11.png	位置合わせ設定を入れた画面と、正しく列が対応づいたプレビュー		設定インポート … CSV位置合わせ設定（ヘッダー行3／データ開始行4／開始列1）→ 取り込み列設定	説明行を飛ばして取り込めるか	ケース別 ＞ CSVの列名がラクミーと違うとき	AC-37						勤怠システムの出力にありがちな先頭行ズレを吸収できること	入出力：現場のCSVをそのまま使える
取込	T-I09	列マッピングテンプレート	S-06	「列マッピングテンプレート管理」→ テンプレート登録（行を追加して保存）→ データ種類で絞り込み → 編集（更新する）・削除 → ツールバー「設定インポートへ」→ インポート画面でテンプレートを選択 →「全解除」を押す	（追加のデータ投入なし）	"【確認場所：設定インポート　→　ツールバー「列マッピングテンプレート管理」】
テンプレートが保存・絞り込み・編集・削除できる。往復導線が通る（2経路とも到達）。テンプレート選択で取込列設定が自動で埋まる（手入力0項目）。「全解除」で取込チェックが一括で外れる"	T-I09.png	テンプレート登録モーダル／一覧／編集・削除後の一覧／「設定インポートへ」で戻った画面		設定インポート → ツールバー「列マッピングテンプレート管理」→ 列マッピングテンプレート（登録モーダル・行を追加・編集/削除・データ種類フィルタ）→「設定インポートへ」で往復	テンプレの登録・編集・削除と往復	ケース別 ＞ CSVの列名がラクミーと違うとき	AC-24 AC-38 AC-30						CSだけで完結できること（開発なしで新しい勤怠システムに対応できる）が要件	入出力：CSが自走できる／入出力：テンプレートの運用／画面：操作が最後まで通る
取込	T-I19	マッピング表の一括登録	S-06	列マッピングテンプレートで「テンプレートダウンロード」→ data/18 のように記入 →「マッピングテンプレートファイル」からアップロード → インポート。あわせて10MBを超えるファイルも試す	18 列マッピング表テンプレ	"【確認場所：列マッピングテンプレート】
テンプレートCSVがDLされ（文字化け0箇所）、アップロードでマッピングが一括反映される（10行なら10行）。10MB超は拒否される"	T-I19.png	アップロード後のマッピング結果／10MB超を選んだときの表示		列マッピングテンプレート … 「テンプレートダウンロード」／「マッピングテンプレートファイル」のアップロード（10MB上限）	一括登録と10MB超の扱い	ケース別 ＞ CSVの列名がラクミーと違うとき	AC-51						行数が多い顧客はこの一括登録を使う。次段階の条件（AC-51）	入出力：マッピングの一括運用
出力	T-E04	設定のエクスポート	S-04	従業員一覧右上「設定・実績エクスポート」→ ①設定 → ②「対象（複数選択可）」＝従業員設定 → データ項目3つ（従業員コード・氏名・所属店舗）→ 出力。次に対象＝従業員設定＋給与設定 で出力	（投入済み）02 従業員マスタ（一覧の12名）	"【確認場所：設定・実績エクスポート（従業員一覧 右上から遷移）】
専用画面が開き①②の2段構成。出力CSVは3列12行（過不足なし）。両対象を選ぶと2ファイル出力"	T-E04.png	選択画面（種別・対象・項目のチェック状態）と、出力されたファイル数が分かる状態		設定・実績エクスポート（従業員一覧 右上から遷移）… ①エクスポート種別＝設定 → ②対象（複数選択可）→ データ項目のチェック → 「出力」	選んだ項目だけ・対象数だけ出るか	操作手順 ＞ データを出力する	AC-25 AC-26 AC-30						チェックしていない列が混入しないこと（情報の出し過ぎ防止）	入出力：渡し先に合わせて出せる／入出力：対象ごとに分ける／画面：操作が最後まで通る
出力	T-E09	実績・同時のエクスポート	S-05	①実績 → ②月＝2026-05 → 実績のデータ項目（給与実績差分を含む）→ 出力。次に ①設定＋実績 を両方選んで出力	（投入済み）05 月次給与実績・06 日次給与実績	"【確認場所：設定・実績エクスポート】
実績1ファイルが出力される。両方選択時は設定と実績の両方が出力される
実績の項目に給与実績差分が選べ、出力値＝実績給与−概算給与と一致する"	T-E09.png	設定＋実績を同時選択した画面と、2ファイル出力されたこと		設定・実績エクスポート … ①実績（月＝2026-05）／①設定＋実績の同時選択 → データ項目 →「出力」	実績と同時選択のファイル数	操作手順 ＞ データを出力する	AC-25 AC-57						①の複数選択が出力まで反映されること	入出力：渡し先に合わせて出せる
出力	T-E07	未選択でのエクスポート防止	S-04	種別／対象／項目のいずれかを未選択のまま「エクスポート」を押す	（投入済み）02 従業員マスタ（一覧の12名）	"【確認場所：設定・実績エクスポート】
警告が出て出力されない（未選択での出力＝0件・空ファイルが落ちてこない）"	T-E07.png	未選択で「出力」を押したときの警告（画面が変わっていないこと）		設定・実績エクスポート … 種別/対象/項目が未選択のまま「出力」→ 警告（同画面に留まる）	未選択で出力されないか	操作手順 ＞ データを出力する	AC-27						3パターン（種別のみ未選択／対象のみ／項目のみ）を試す	入出力：空振りを防ぐ
出力	T-E08	出力CSVの文字化け	S-04 ／ T-E04で出力済み	T-E04で出力したCSVをExcelで開く	（投入済み）02 従業員マスタ（一覧の12名）	"【確認場所：設定・実績エクスポート】
日本語（氏名・店舗名・列名）が文字化けしない（文字化け＝0箇所）。BOM付きUTF-8"	T-E08.png	出力CSVをExcelで開いた画面（日本語が文字化けしていないこと）		設定・実績エクスポート … 出力したCSVをExcelで開く（画面外の確認）	Excelで文字化けしないか	操作手順 ＞ データを出力する	AC-28						そのまま外部提出できるかの判断。給与計算ソフト・社労士へ渡す前提	入出力：そのまま提出できる
取込データ	T-N01	取込元データの確認	T-I03実施済み	サイドバー「設定取込データ」→ 取り込んだファイル・行を確認。次に「実績取込データ」を開く	（追加のデータ投入なし）	"【確認場所：設定取込データ（サイドバー）】
設定取込データ＝取込データ名の一覧→タブ（従業員設定11列／給与設定4列）。実績取込データ＝一覧→タブ（月別データ10列／日別データ10列。交通費・総支給額は表示しない（判断14））"	T-N01.png	設定取込データと実績取込データの一覧＋各タブ（計4枚）		設定取込データ（サイドバー）… 取込データ名の一覧 → 従業員設定／給与設定タブ　実績取込データ … 月別データ／日別データタブ	元データとタブの構成	操作手順 ＞ 取り込んだ元データを確認する	AC-39						履歴の「変更ソース＝CSVインポート」から辿れること	入出力：原因を追える
取込データ	T-N02	取込前のプレビューと前回差分	S-05 S-06	先に data/02（従業員マスタ）を再投入して設定を取込前の値に戻す。そのうえで設定取込データと実績取込データで、各行の「プレビュー」→「前回差分表示」→「読み込み」を順に押す。差分の期待値は data/16（設定）・data/17（実績）と突合する	02 従業員マスタ／16 前回取込 設定差分／17 前回取込 実績差分	"【確認場所：設定取込データ／実績取込データ】
プレビュー＝取込内容が一覧表示（設定11項目／実績は総労働時間・給与・交通費 ほか）。前回差分＝「前回320,000円→新規340,000円」の形式で差だけが表示され、data/16の5行・data/17の9行と一致する。読み込み＝取込中モーダルが出て完了する"	T-N02.png	前回差分表示の画面（「前回320,000円→新規340,000円」の形式が読めること）		設定取込データ／実績取込データ … 各行の「プレビュー」「前回差分表示」「読み込み」ボタン	差分がdata/16・17と一致するか	操作手順 ＞ 取り込んだ元データを確認する	AC-50						タブ（設定＝従業員設定/給与設定、実績＝月別データ/日別データ）も切り替わること ／ T-I03でEMP-001は既に340,000になっているため、data/02を戻さないと前回差分が0件になり検証にならない	データ保全：取り込む前に気づける
取込データ	T-N03	取込データと給与実績一覧の相互導線	S-05	給与実績一覧の「実績取込データへ」→ 実績取込データの「給与実績一覧へ」を押す	（投入済み）05 月次給与実績・06 日次給与実績	"【確認場所：給与実績一覧　→　「実績取込データへ」／実績取込データ】
2経路とも到達する（不通=0）"	T-N03.png	給与実績一覧→実績取込データ／実績取込データ→給与実績一覧 の到達直後（2枚）		給与実績一覧 → 「実績取込データへ」／実績取込データ → 「給与実績一覧へ」（相互導線）	2経路とも到達するか	操作手順 ＞ 取り込んだ元データを確認する	AC-30						行きと戻りの両方が通ること	画面：操作が最後まで通る
横断	T-Z01	移行前後の突合（既存データ）	S-09 S-11	移行を実施し、移行前後の従業員一覧をCSV出力して data/15 で突合する	15 移行前後 突合テンプレ	"【確認場所：従業員一覧】
件数の増減＝0（12名のまま）／12項目すべての値の差分＝0"	T-Z01.png	移行前後の従業員一覧と、突合表（data/15）の差分結果		従業員一覧 … 移行前後のCSVエクスポートを突合（画面外での比較）	移行前後で差分0件か	ケース別 ＞ すでにご利用中のお客様	AC-01						★No-Go条件。1件でも差分が出た時点でリリース中止	移行：既存顧客が壊れない
横断	T-Z02	移行後の適用日付の付与	S-09 ／ T-Z01実施済み	移行後の設定履歴を全件CSV出力し、適用日付の空欄を数える	（追加のデータ投入なし）	"【確認場所：従業員詳細 → 設定変更履歴／設定変更履歴一覧】
適用日付がNULLの行＝0件。全12名に初回レコードが過去日で付与されている
あわせて、すべての従業員に従業員IDが付番されている（未付番=0件）。外部IDは対応表に移されている"	T-Z02.png	移行後の設定変更履歴（適用日付が全行に入っていること）		従業員詳細 → 設定変更履歴／設定変更履歴一覧 … 適用日付の空欄	適用日付の空欄が0件か	ケース別 ＞ すでにご利用中のお客様	AC-02 AC-55						★AC-03（過去が動かない）の前提。ここが欠けると過去月の再計算が走る	移行：履歴の起点を作る
横断	T-Z03	移行前後の過去月の人件費	S-09 ／ T-Z01実施済み	移行前に出力しておいた直近3か月の給与実績一覧と、移行後の同3か月を突合する	15 移行前後 突合テンプレ	"【確認場所：給与実績一覧 → 月別実績タブ】
3か月とも実績給与の差分＝0円（1円でも動けばリリース中止）"	T-Z03.png	移行前後の給与実績一覧 月別実績（直近3か月・金額が同じであること）		給与実績一覧 → 月別実績タブ … 移行前後の直近3か月	過去3か月の金額が変わらないか	ケース別 ＞ すでにご利用中のお客様	AC-03						★No-Go条件。課題P1そのもの。data/15 の M-04〜M-06 に記入する	移行：過去が動かない
横断	T-Z04	サイドバーの構成	S-01	PC（ホバー展開）とモバイル（アコーディオン）で「従業員管理」を開く	（追加のデータ投入なし）	"【確認場所：サイドバー「従業員管理」】
閲覧・管理3項目／データ連携4項目の計7項目が両端末で表示"	T-Z04.png	PCのホバー展開とモバイルのアコーディオン（2枚）		サイドバー「従業員管理」… PCはホバー展開、モバイルはアコーディオン	PC・モバイルとも開くか	（ヘルプ記載なし・画面構成）	AC-29						欠落0であること	画面：たどり着ける
横断	T-Z05	遷移と表示規則の網羅	S-04 S-05	仕様書 第2部のケース別遷移フロー（分岐込み75本）を順に押下し、各画面の通貨・バッジ・空表示を確認	（投入済み）02 従業員マスタ（一覧の12名）／05 月次給与実績・06 日次給与実績	"【確認場所：全画面（仕様書 第2部の遷移フロー75本）】
すべて到達可能（不通＝0）。通貨は千区切り＋¥、バッジ規則が全画面で同一、空データは「データはありません。」"	T-Z05.png	差異が出た画面のみ（全75本は不要。想定と違った箇所を記録する）		全画面（仕様書 第2部の遷移フロー75本）… 通貨の桁区切り・バッジ・0件表示	75本の遷移と表示規則	（ヘルプ記載なし・遷移網羅）	AC-30 AC-01						キャンセル・戻るを含む	画面：操作が最後まで通る／移行：既存顧客が壊れない
計算	C-000	データの初期化（計算の検証に入る前に必ず実施）	S-03 S-05	操作の検証（T-）でデータが変わっているため、data/02〜06・13 を再投入し、2026-05を未締めに戻す。EMP-013・014（取込で追加された分）は削除する	02〜06・13を再投入（初期化）	"【確認場所：従業員一覧（12名に戻す）／給与実績一覧 月別実績（2026-05を未】
従業員12名・data/05の5名がS-05時点の値に戻る（EMP-001=320,000／EMP-002=280,000／EMP-003=時給1,200／EMP-005=350,000）。2026-05は未締め"	C-000.png	初期化後の従業員一覧（12名）と給与実績一覧（未締め・S-05時点の金額）		従業員一覧（12名に戻す）／給与実績一覧 月別実績（2026-05を未締めに戻す）	S-05時点の値に戻ったか	（初期化のため対応なし）	-						★これを飛ばすと C-001以降の期待値が合わない。T-D06（EMP-002を290,000に変更）・T-I03/T-I04（取込で単価更新）・T-H01（設定変更）の影響を取り除く	（初期化のため算式なし）S-05時点の値へ戻す
計算	C-001	実績給与の内訳整合（ヘルプなし）	C-000 S-03 S-07	2026-05の EMP-002（概算280,000・基礎時給1,750・深夜2h・所属店舗の交通費15,000）と EMP-007（概算300,000・基礎時給1,875・深夜4h・交通費30,000）を検算	05 月次給与実績	"【確認場所：給与実績一覧 → 月別実績タブ → 実績モード】
EMP-002＝300,250（概算280,000＋深夜5,250＋交通費15,000）／EMP-007＝341,250（概算300,000＋深夜11,250＋交通費30,000）。いずれも差分0円。交通費の列は表示されない"	C-001.png	月別実績（実績モード）でEMP-002・EMP-007の行が読める範囲		給与実績一覧 → 月別実績タブ → 実績モード … 概算給与・深夜残業代・実績給与の列	概算＋深夜＝実績給与か	操作手順 ＞ 人件費の計算方法	AC-10						現行サンプルはこの2行のみ一致している	基礎時給＝単位給与額÷所定労働時間／深夜残業代＝基礎時給×1.5×深夜残業時間（判断7・確定）／実績給与＝概算給与＋深夜残業代＋みなし超過残業代
計算	C-003	実績給与の内訳整合（ヘルプあり）	C-000 S-03 S-07	2026-05の EMP-001（概算320,000・深夜6h・ヘルプ22h／所属店舗の交通費18,000・ヘルプ先の交通費1,600）／EMP-005（概算350,000・深夜10h・ヘルプ35h／22,000・3,100）／EMP-003（概算144,000・ヘルプ20h／9,000・1,300）を検算	05 月次給与実績・06 日次給与実績	"【確認場所：給与実績一覧 → 月別実績タブ → 実績モード】
EMP-001＝357,600／EMP-005＝407,912／EMP-003＝154,300（いずれも概算＋深夜＋みなし超過＋交通費）。ヘルプ人件費は按分にヘルプ先の交通費を足した額（EMP-001＝44,832／EMP-003＝25,300／EMP-005＝75,524）"	C-003.png	月別実績（実績モード）でEMP-001・003・005の行と、ヘルプ人件費の列が読める範囲		給与実績一覧 → 月別実績タブ → 実績モード … 概算給与・深夜残業代・ヘルプ人件費・実績給与の列	ヘルプ人件費が按分で振替されるか	ケース別 ＞ 応援（ヘルプ）勤務がある場合	AC-10 AC-14						店舗別に振り替えても全社合計1,461,312円は不変（C-005で確認）	ヘルプ人件費＝実績給与×ヘルプ時間÷総労働時間（判断5・確定）。応援先店舗に加算し所属店舗から差し引く（振替）
計算	C-005	店舗別合計と全社合計の一致	C-000 S-03 S-04	2026-05・実績モードで店舗フィルタを5店それぞれに設定して合計し、全社と突合	05 月次給与実績	"【確認場所：給与実績一覧 → 月別実績タブ → 実績モード】
店舗5店の合計 − 全社合計 ＝ 0円（1,561,312円）"	C-005.png	店舗フィルタ5店それぞれの合計と全社の合計（計6枚、または合計値が分かる1枚）		給与実績一覧 → 月別実績タブ → 実績モード … 店舗フィルタを5店それぞれに設定して合計	店舗別合計＝全社（差0円）か	ケース別 ＞ 応援（ヘルプ）勤務がある場合	AC-11						★No-Go条件。振替後の店舗別 S01=641,265／S02=141,616／S03=332,004／S04=311,250／S05=35,177 → 合計1,461,312円＝全社と一致	店舗別の合計＝全社合計。ヘルプ分は店舗間の振替のため総額は変わらない（原則③）
計算	C-006	月中改定と予約の日割り	C-000 S-07 ／ data/14を投入	EMP-001を2026-06-11から340,000に改定（6月の勤務は22日176h）。次に2026-08-01適用で予約し7月・8月を確認	14 勤務データ 2026-06	"【確認場所：給与実績一覧 → 月別実績タブ（2026-06/07/08）／改定は従】
6月＝332,727円（320,000×8/22 ＋ 340,000×14/22。判断1＝所定労働日割）。7月＝320,000満額・8月＝340,000満額（月初適用のため日割りなし）"	C-006.png	2026-06・07・08の月別実績（改定の反映と日割りが分かること）		給与実績一覧 → 月別実績タブ（2026-06/07/08）／改定は従業員詳細の適用日付	所定労働日割になっているか	ケース別 ＞ 給与改定を先の日付で予約する	AC-12 AC-04						暦日割で実装されていると333,333円になる（差606円）。この差でどちらの基準で実装されたか判別できる	月中改定は所定労働日割（判断1・確定）＝旧単価×改定前の所定労働日数÷所定労働日数＋新単価×改定後の所定労働日数÷所定労働日数。月初適用は日割りなし
計算	C-011	時給者の概算と月中改定	C-000 S-07 ／ data/14を投入	EMP-003の2026-05の概算（時給1,200×所定120h）と、2026-06-16から1,250へ改定した6月（前半60h・後半60h）を検算	05 月次給与実績・14 勤務データ 2026-06	"【確認場所：給与実績一覧　→　月別実績タブ】
5月＝144,000／6月＝1,200×60＋1,250×60＝147,000"	C-011.png	2026-05と2026-06の概算モード（EMP-003の行）		給与実績一覧 → 月別実績タブ → 概算モード（2026-05と2026-06）	時給者の概算と月中改定	操作手順 ＞ 人件費の計算方法	AC-13						時給者は日割り按分ではなく各勤務日の有効単価で計算されること	時給者の概算給与＝単位給与額×所定労働時間。月中改定は期間ごとの実働時間×各単価の合計
